TargetID,ProbeID,9993942002_A.AVG_Signal,9993942002_A.Detection Pval,9993942002_A.BEAD_STDERR,9993942002_A.Avg_NBEADS,9993942002_B.AVG_Signal,9993942002_B.Detection Pval,9993942002_B.BEAD_STDERR,9993942002_B.Avg_NBEADS,9993942002_C.AVG_Signal,9993942002_C.Detection Pval,9993942002_C.BEAD_STDERR,9993942002_C.Avg_NBEADS,9993942002_D.AVG_Signal,9993942002_D.Detection Pval,9993942002_D.BEAD_STDERR,9993942002_D.Avg_NBEADS,9993942002_E.AVG_Signal,9993942002_E.Detection Pval,9993942002_E.BEAD_STDERR,9993942002_E.Avg_NBEADS,9993942002_F.AVG_Signal,9993942002_F.Detection Pval,9993942002_F.BEAD_STDERR,9993942002_F.Avg_NBEADS,9993942002_G.AVG_Signal,9993942002_G.Detection Pval,9993942002_G.BEAD_STDERR,9993942002_G.Avg_NBEADS,9993942002_H.AVG_Signal,9993942002_H.Detection Pval,9993942002_H.BEAD_STDERR,9993942002_H.Avg_NBEADS
NEGATIVE,6020546,193.8164,0.2518797,14.56995,29,193.2498,0.2506266,9.907728,30,192.9444,0.2807018,8.543669,23,182.5372,0.3809524,12.28686,28,176.075,0.4561403,8.969316,36,205.6665,0.1754386,10.89023,36,195.3782,0.3120301,12.38378,23,179.5601,0.6616541,8.686868,32
NEGATIVE,6020646,154.6559,0.8596491,6.364233,35,161.0692,0.7418546,7.573733,29,149.1272,0.9423559,9.472656,25,144.8573,0.9724311,7.896676,29,159.6958,0.7869674,9.353515,28,166.7425,0.7268171,6.457407,35,163.8653,0.8145363,7.092183,40,153.5481,0.9649123,6.252538,30
NEGATIVE,6040500,234.6133,0.05889724,13.89734,22,224.6099,0.0764411,9.820733,38,207.282,0.1842105,8.035522,37,233.7886,0.06390978,14.25673,30,236.859,0.06140351,8.416456,38,201.6365,0.20802,9.152122,29,239.5883,0.06140351,12.7812,38,242.7628,0.06766918,15.87405,35
NEGATIVE,6040669,153.9241,0.8671679,9.056781,32,163.4976,0.6929824,7.530054,29,172.0629,0.585213,11.43979,30,163.5007,0.7318296,5.422616,38,171.6878,0.5250627,9.680597,32,160.7545,0.8295739,9.008068,33,181.4604,0.4761905,8.26686,49,182.8855,0.5989975,10.16855,36
NEGATIVE,6040670,208.0982,0.1478697,7.826023,43,186.8664,0.2994987,8.180292,47,201.2566,0.2230576,8.87697,26,195.297,0.2393484,8.956436,30,210.7231,0.1528822,10.86016,36,202.8016,0.1954887,9.953962,32,192.8705,0.3370927,11.77312,27,198.0586,0.3521303,8.351756,31
NEGATIVE,6040736,181.6516,0.3734336,12.989,23,194.3662,0.2418546,10.11561,25,175.3771,0.5238096,11.24885,28,183.5196,0.3571429,9.817129,40,192.967,0.2631579,9.089627,35,208.3342,0.1553885,13.92709,36,220.3337,0.112782,13.28269,39,225.6276,0.1378446,13.95507,26
NEGATIVE,6060541,179.6082,0.3984962,8.31418,43,156.7764,0.8120301,6.382148,36,168.6186,0.6453634,6.238664,31,166.1077,0.6641604,9.471491,37,164.9944,0.679198,6.575957,34,161.3672,0.8170426,7.376817,32,190.6565,0.368421,7.038245,34,189.3756,0.4824561,8.262723,29
NEGATIVE,6100075,167.4706,0.6315789,10.18173,33,162.7077,0.7117795,7.164414,30,175.9887,0.5150376,8.703079,39,167.819,0.6353384,8.791908,38,157.7848,0.8295739,8.556789,33,195.7124,0.2431078,9.502309,43,153.5608,0.9385965,6.670397,36,175.6184,0.7155389,6.394756,48
NEGATIVE,6100288,144.6632,0.9573935,8.901534,34,161.8029,0.7293233,9.434507,27,172.317,0.5739349,6.926757,29,146.8642,0.9661654,7.409388,31,151.1052,0.9135338,7.621362,37,162.4953,0.7969925,6.604091,40,161.9003,0.8421053,7.799419,39,168.5938,0.8308271,9.856309,36
NEGATIVE,6100397,167.0268,0.6403509,8.134161,42,154.6848,0.8558897,6.941822,40,163.79,0.735589,7.607363,37,165.149,0.6904762,10.25098,37,162.1687,0.7368421,7.432677,37,168.4557,0.6829574,6.206777,42,160.9671,0.8571429,6.363336,36,170.7637,0.7957394,5.991399,37
